year,co2,ch4,n2o,other_wmghg,o3_tropospheric,o3_stratospheric,h2o_stratospheric,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,total_anthropogenic,total_natural,total
2313,10.175203108819442,0.20743424613965944,0.6529047773209129,0.06778474518403856,0.055031132459680734,-0.0,0.02654717835852866,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.899859213199125,0.0,10.899859213199125
2314,10.172697556157885,0.20730950059585823,0.6530365836288811,0.0675477387730722,0.05498666469893074,-0.0,0.02653121357806279,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.897063282349553,0.0,10.897063282349553
2315,10.170147243925676,0.20718473138223722,0.6531686099308234,0.06731574279961884,0.054942193319385116,-0.0,0.02651524576836265,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.894227792042965,0.0,10.894227792042965
2316,10.16763953544194,0.20705501926327904,0.6533005911178126,0.06708861303538242,0.05489595053937671,-0.0,0.026498645371748647,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.891432379686405,0.0,10.891432379686405
2317,10.16513067359752,0.20693022683620615,0.6534323762950772,0.06686636565007906,0.05485148096922883,-0.0,0.026482674591219633,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.888647822856194,0.0,10.888647822856194
2318,10.162577085355991,0.206805447624817,0.6535620228017389,0.06664870365928399,0.05480701320847883,-0.0,0.026466705502017487,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.88582100306919,0.0,10.88582100306919
2319,10.16006629797192,0.20668067610333132,0.6536890926317273,0.06643555371493685,0.054762545447728836,-0.0,0.02645073739695968,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.883038928183469,0.0,10.883038928183469
2320,10.157510423118506,0.2065558691297977,0.6538187415307247,0.06622681495919815,0.05471807768697884,-0.0,0.026434764754792606,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.88021871609686,0.0,10.88021871609686
2321,10.154997573687487,0.20643109705361368,0.6539434064886264,0.06602229393472636,0.05467361173562671,-0.0,0.02641879657874519,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.877440804395688,0.0,10.877440804395688
2322,10.152483557028237,0.20630628884716273,0.654070479038701,0.06582181652963714,0.054629145784274497,-0.0,0.02640282377879088,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.874668135923665,0.0,10.874668135923665
2323,10.149924580458688,0.2061765259780686,0.6541955400338968,0.06562542729075611,0.054582897576072584,-0.0,0.02638621688723722,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.871845213141583,0.0,10.871845213141583
2324,10.14740836543413,0.20605170657610059,0.6543201968767993,0.06543291068171493,0.05453842981532259,-0.0,0.02637024265449448,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.869075876955424,0.0,10.869075876955424
2325,10.144847279296352,0.2059268948151642,0.6544427522570258,0.06524416817019875,0.05449396205457259,-0.0,0.026354269399641524,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.866263350909819,0.0,10.866263350909819
2326,10.14232921811532,0.20580206929197797,0.6545650398224335,0.06505917181840723,0.05444949429382259,-0.0,0.026338294383512845,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.863497312642336,0.0,10.863497312642336
2327,10.139809858258097,0.20568217969452543,0.654687204407815,0.06487770992799397,0.05440680336172883,-0.0,0.026322951061057004,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.860740731628082,0.0,10.860740731628082
2328,10.137245206793636,0.20555733674153892,0.6548097522748993,0.06469957380295223,0.0543623392197745,-0.0,0.026306973814284033,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.85793520756395,0.0,10.85793520756395
2329,10.134723910974783,0.20543248161098723,0.6549296617763999,0.06452499561280145,0.05431786784022884,-0.0,0.026290995009041328,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.855173937741107,0.0,10.855173937741107
2330,10.132157373325455,0.20530765414812768,0.6550474711808922,0.06435363359678403,0.05427340369827449,-0.0,0.026275019744675658,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.852368580611072,0.0,10.852368580611072
2331,10.129633728326725,0.2051827859551961,0.6551673956904318,0.06418551099856173,0.05422893774692232,-0.0,0.02625903926772572,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.849611422902427,0.0,10.849611422902427
2332,10.127064984864054,0.2050579106500721,0.6552851598372721,0.06402042904239176,0.0541844663673767,-0.0,0.026243057880566193,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.846810033558597,0.0,10.846810033558597
2333,10.124539445228447,0.20493304769538,0.6554003466599859,0.06385847083868282,0.054139996797228834,-0.0,0.026227078073999675,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.844052410210589,0.0,10.844052410210589
2334,10.122012602376794,0.2048131133404466,0.655517743348326,0.063699335851676,0.05409730767453291,-0.0,0.02621172902353677,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.841305856532177,0.0,10.841305856532177
2335,10.119440507145907,0.2046882279299586,0.6556331660402427,0.06354311508977044,0.0540528399137829,-0.0,0.02619574634310525,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.83850762737963,0.0,10.83850762737963
2336,10.116911582517602,0.20456333334316826,0.6557483571008516,0.06338969597848544,0.05400837396243073,-0.0,0.026179762488301905,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.835755130307705,0.0,10.835755130307705
2337,10.114381674736158,0.20444340245682166,0.6558610056873334,0.06323898587603591,0.05396568483973489,-0.0,0.026164413881744453,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.833009192394691,0.0,10.833009192394691
2338,10.111806404614066,0.20431849691738987,0.6559740622832099,0.06309094739711199,0.053921217078984895,-0.0,0.026148428625235594,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.830213581832863,0.0,10.830213581832863
2339,10.109274229917244,0.2041935773357212,0.6560868639038716,0.06294547070366834,0.0538767493182349,-0.0,0.02613244157161862,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.827463357667222,0.0,10.827463357667222
2340,10.106741250636784,0.20407362310945867,0.656197122113834,0.06280248378683628,0.05383405838614114,-0.0,0.026117089978047583,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.824719652927964,0.0,10.824719652927964
2341,10.104162620605555,0.20394869223028347,0.6563078139804861,0.0626619510490629,0.0537895888159933,-0.0,0.026101101478589694,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.821925793076835,0.0,10.821925793076835
2342,10.101627325345502,0.20382872639879102,0.6564180872815608,0.06252380735824399,0.05374690331209296,-0.0,0.026085748399795678,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.81918462301285,0.0,10.81918462301285
2343,10.09909081210918,0.20370377781668983,0.6565285370018444,0.062387977010050055,0.05370243736074083,-0.0,0.026069757634739208,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.816437323850108,0.0,10.816437323850108
2344,10.096553401965695,0.20358378669563168,0.6566364441656917,0.06225444014477209,0.05365974461924933,-0.0,0.02605440131941784,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.81369624382732,0.0,10.81369624382732
2345,10.093970442662934,0.20346379764709943,0.6567445974675519,0.06212307781786004,0.05361705730595115,-0.0,0.026039045269335776,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.810912043087598,0.0,10.810912043087598
2346,10.091430939800686,0.20333884574019018,0.6568502996279223,0.06199379825653652,0.05357258954520115,-0.0,0.02602305407877448,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.808163551966173,0.0,10.808163551966173
2347,10.088890128483452,0.20321880984257534,0.6569581997850223,0.06186667179532821,0.05352989499431181,-0.0,0.02600769203300475,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.80542542185056,0.0,10.80542542185056
2348,10.086348371960554,0.20309880774256409,0.6570637186134256,0.06174164732050725,0.05348720949041154,-0.0,0.025992334312610537,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.802686114356936,0.0,10.802686114356936
2349,10.08380562154791,0.2029788037005228,0.6571668937633194,0.061618540831602626,0.05344452036771562,-0.0,0.025976976343677724,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.799945381471613,0.0,10.799945381471613
2350,10.081261606491458,0.2028587652332854,0.6572724162333422,0.06149745474264801,0.05340183124501974,-0.0,0.025961613969050872,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.797207712831668,0.0,10.797207712831668
2351,10.07871655204766,0.20273874006003684,0.6573755827584264,0.061378215592782136,0.0533591439317216,-0.0,0.02594625329577228,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.794468512603263,0.0,10.794468512603263
2352,10.076170548291547,0.20261372708899192,0.6574789003190613,0.061260769454229626,0.0533146761709716,-0.0,0.0259302542902984,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.791722900531962,0.0,10.791722900531962
2353,10.073623368856756,0.20249369142163484,0.6575797006403813,0.06114516832484798,0.05327198704827571,-0.0,0.02591489227399677,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.788982833482757,0.0,10.788982833482757
2354,10.071075058066018,0.20237361617092628,0.6576828597473002,0.06103138684733476,0.05322929611618199,-0.0,0.025899525191866758,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.78624576705649,0.0,10.78624576705649
2355,10.06852579630683,0.20225356423592508,0.6577836621986834,0.06091930477791547,0.05318661061228165,-0.0,0.025884161093652148,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.78350712414215,0.0,10.78350712414215
2356,10.06597553939545,0.20213847730790116,0.6578819347568087,0.060808884632193645,0.05314569831824205,-0.0,0.025869432410891978,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.78077399173835,0.0,10.78077399173835
2357,10.063423967378549,0.20201838951282647,0.657982729114563,0.06070010303634036,0.0531030091955462,-0.0,0.0258540637233495,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.778036286878038,0.0,10.778036286878038
2358,10.06087130720763,0.2018983149552292,0.6580811558476966,0.060592854470888996,0.05306032188224802,-0.0,0.025838696729923012,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.77529667601048,0.0,10.77529667601048
2359,10.058362440479101,0.20177822209724897,0.6581793378179254,0.0604872466260586,0.05301763275955214,-0.0,0.02582332739443614,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.772602232091185,0.0,10.772602232091185
2360,10.055807533013992,0.20165811621097757,0.6582777439908813,0.06038322602270755,0.05297494363685626,-0.0,0.025807956391604672,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.769863544183883,0.0,10.769863544183883
2361,10.053251852123305,0.2015429928903898,0.6583736548327332,0.06028063449376916,0.0529340331522144,-0.0,0.025793223051369177,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.767130415460644,0.0,10.767130415460644
2362,10.05069498993374,0.20142288217836618,0.6584697180319317,0.06017956262710952,0.05289134402951852,-0.0,0.025777851430943906,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.764390373148473,0.0,10.764390373148473
2363,10.048181818713488,0.2013077291371393,0.6585653627982709,0.06007987190095461,0.052850431735478834,-0.0,0.02576311428709776,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.761702353489294,0.0,10.761702353489294
2364,10.045622656894588,0.20118759737588185,0.6586614416810327,0.05998152979332849,0.05280774442218074,-0.0,0.025747739972817568,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.758962735056693,0.0,10.758962735056693
2365,10.043062588566267,0.20106746393414845,0.6587551041533048,0.059884570934115935,0.05276505349008702,-0.0,0.025732365443472145,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.756221171438261,0.0,10.756221171438261
2366,10.040546264638975,0.20095230445992512,0.6588484080688992,0.05978900076991828,0.05272414481484296,-0.0,0.025717627476339065,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.753531775145762,0.0,10.753531775145762
2367,10.037983893461401,0.20083712793280986,0.6589419358005564,0.059694743039814105,0.05268323433020114,-0.0,0.02570288732679796,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.750797846808444,0.0,10.750797846808444
2368,10.035465398217816,0.20071698187344816,0.6590330004856658,0.0596017538691998,0.05264054520750526,-0.0,0.025687511182664068,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.748099215753165,0.0,10.748099215753165
2369,10.032900815196218,0.20060178553360433,0.6591265192277814,0.05951001611296228,0.052599636532261324,-0.0,0.025672768497514455,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.745365566017206,0.0,10.745365566017206
2370,10.030380191479964,0.2004865829109955,0.6592174367056973,0.05941933166568003,0.05255872242882381,-0.0,0.025658025008304348,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.742674315116329,0.0,10.742674315116329
2371,10.02785842126133,0.20037139337083068,0.6593083553806623,0.05932999096114496,0.0525178173723754,-0.0,0.02564328319336925,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.739983286456578,0.0,10.739983286456578
2372,10.025290867020747,0.20025121204895094,0.6593972661107044,0.05924187511891339,0.052475126440281655,-0.0,0.02562790253638189,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.737238274192842,0.0,10.737238274192842
2373,10.02276691789998,0.20013597695918306,0.6594882128060007,0.05915484095426833,0.05243421414624205,-0.0,0.02561315489206491,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.734547342574603,0.0,10.734547342574603
2374,10.020242050459364,0.20002075112559353,0.6595767551251207,0.05906893771538765,0.05239330185220245,-0.0,0.02559840843234219,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.731854229626876,0.0,10.731854229626876
2375,10.017716033480882,0.1999055230327972,0.6596653112024341,0.05898410051475827,0.05235239317695842,-0.0,0.025583661683488978,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.729161048008184,0.0,10.729161048008184
2376,10.015188914082973,0.19979028275808677,0.6597538569124355,0.058900249087453095,0.0523114845017144,-0.0,0.02556891337560946,0.04017036488092258,-0.03684314849454616,0.01606201733914842,-0.011733459778776923,-0.292701749029884,0.0,0.0,10.726467725635136,0.0,10.726467725635136
