,co2,ch4,n2o,other_wmghg,o3_trop,o3_strat,h2o_strat,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,total_anthropogenic,total_natural,total
1750,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-2.3421311779220817e-05,0.07362139369420888,0.0,0.07359797238242966,0.07359797238242966
1751,0.0008235494458627056,0.000273461339555988,9.845089667385418e-05,0.0,-0.000627623397043647,-0.0,3.281536074671856e-05,0.0,0.0003144759727556311,0.0005611931503293066,-0.0002649744636240286,-0.0,-7.873399386233252e-06,0.05527510463170887,0.0012113483052565287,0.05526723123232264,0.05647857953757917
1752,0.001647036259564299,0.0009449730384084344,0.00021045168020426098,0.0,-0.0007021456796567221,-0.0,0.00011339676460901213,0.0,0.0004968604472850337,0.0007608782321468308,-0.0003568457633428655,-0.0,-2.6478712177637385e-06,0.02519717494420888,0.003114604979218283,0.025194527072991118,0.0283091320522094
1753,0.002329817007012884,0.0014089082769929112,0.00036656211760329913,0.0,-0.0004932244618124494,-0.0,0.00016906899323914935,0.0,0.00031726543136210636,0.0005202202040778336,-0.00027539090771878043,-0.0,-8.971069510009995e-07,-0.010980583844853616,0.004343226660756954,-0.010981480951804618,-0.006638254291047664
1754,0.003153146019645131,0.0017677071676899156,0.0005124386021285911,0.0,0.0003554002532054401,-0.0,0.00021212486012278986,0.0,-0.0001943371542826207,-0.00038980921722242155,1.6814842165544243e-05,-0.0,-3.0994114292327385e-07,-0.04539547642297862,0.00543348537345237,-0.045395786364121546,-0.03996230099066918
1755,0.004096748450014209,0.0021049407818139313,0.0006311880098937965,0.0,0.0004342909759827733,-0.0,0.00025259289381767173,0.0,9.11885875851913e-05,-4.075531382209879e-05,1.4928454850076005e-05,-0.0,-0.03174129514715427,-0.06987279575891611,0.00758512284013555,-0.10161409090607038,-0.09402896806593483
1756,0.004859496640780278,0.0025372509721968443,0.000726205156005152,0.0,-0.0004784983629511374,-0.0,0.0003044701166636213,0.0,0.0002866309337329967,0.0003698434163961942,-0.00030777472679848237,-0.0,-0.31827396821603204,-0.0774546805245411,0.008297624146025466,-0.3957286487405731,-0.38743102459454765
1757,0.005923232620771098,0.0028350647807161827,0.0007838758769196011,0.0,0.0019156241720725178,-0.0,0.0003402077736859419,0.0,-0.00033533570980949154,-0.00119313411582242,0.0005348247835316991,-0.0,-0.1612335830012492,-0.058312761579228614,0.01080436018206513,-0.21954634458047784,-0.2087419843984127
1758,0.006866448995523586,0.0030330888463988353,0.0008958056083887702,0.0,0.001306954166921794,-0.0,0.0003639706615678602,0.0,-0.00012754668952059608,-0.0007026620044705246,0.00024353833231956017,-0.0,-0.05966859392401755,-0.006955632672978618,0.011879597917129284,-0.06662422659699617,-0.05474462867986689
1759,0.007889671789230569,0.002964893268755032,0.0010179330426129361,0.0,0.0009278242453632367,-0.0,0.0003557871922506038,0.0,-0.00016807719425341455,-0.0005926124334631129,0.00020787168442011497,-0.0,-0.020765871645614727,0.04354346400670888,0.012603291594915965,0.022777592361094154,0.03538088395601012
1760,0.009193694502934762,0.0025770832996253657,0.0011129429203248845,0.0,0.0010835241633858188,-0.0,0.00030924999595504385,0.0,-0.00047396175821565537,-0.0010211838047611331,0.00032023795256630515,-0.0,-0.0070693893404357375,0.06842639857702137,0.013101587271815391,0.06135700923658564,0.07445859650840103
1761,0.010376919804864354,0.0027530118595430583,0.0012112996764853418,0.0,0.0015132129294215739,-0.0,0.000330361423145167,0.0,-0.0003367670831446942,-0.0012234089313685969,0.00042637666405968144,-0.0,-0.002386185032748905,0.06227976771764637,0.015051006343005885,0.059893582684897466,0.07494458902790335
1762,0.011740517770660807,0.003093662948071477,0.0013062433883693585,0.0,0.00034743189033211233,-0.0,0.0003712395537685772,0.0,-0.0001170386423622223,-0.000468185786819051,4.2341637223869144e-05,-0.0,-1.0418234696514903,0.040189338030146377,0.01631621275924493,-1.001634131621344,-0.9853179188620991
1763,0.013023458202637972,0.0036471222594401005,0.001482595666523841,0.0,0.0007387741432641665,-0.0,0.000437654671132812,0.0,-0.00015026628789004126,-0.000724608298332975,9.866362658773249e-05,-0.0,-0.7257661360822348,0.006850885881708881,0.018553393983363607,-0.7189152502005259,-0.7003618562171623
1764,0.014286300422256499,0.004228003980895906,0.0016114060744578716,3.641066001036643e-11,-5.010957437519125e-05,-0.0,0.0005073604777075087,0.0,0.0005533765043147336,0.0003224983844662629,-0.0002797337293973124,-0.0,-0.282996688725416,-0.02990409458704112,0.021179102576736934,-0.31290078331245713,-0.2917216807357202
1765,0.015368335302148236,0.004783927091001211,0.001719870866878769,2.974993734997224e-10,0.001419647823083637,-0.0,0.0005740712509201453,0.0,-0.00031691223755590456,-0.001017676756087193,0.0002753712928299086,-0.0,-0.10247276195316506,-0.05974801548547861,0.022806634930718182,-0.16222077743864366,-0.13941414250792547
1766,0.016269968594413285,0.005315646869327729,0.0017876631341745993,6.322833117234187e-10,0.0011953063505631674,-0.0,0.0006378776243193275,0.0,3.892284905299831e-05,-0.0007849098452686174,0.00013522991562943,-4.844827885614451e-06,-0.4889689166007172,-0.07386654575891613,0.02459086129660962,-0.5628354623596333,-0.5382446010630237
1767,0.017451845219453543,0.005880262841045652,0.0019028941489172145,9.732813537142663e-10,0.001315520347735665,-0.0,0.0007056315409254782,0.0,1.755375052036115e-05,-0.0007554631530118075,0.00015656119256055728,-1.4534484564404098e-05,-0.5012842937408524,-0.06068405064172861,0.026660272376863615,-0.561968344382581,-0.5353080720057174
